place,title,time,pay,date
강원 원주시,더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급 2,450,000",2시간전
경기 광명시,더본코리아 홍콩반점0410 광명철산점,10:30~22:30,"월급 2,600,000",2시간전
부산 기장군,더본코리아 본가 정관신도시점,10:30~10:00,"월급 2,000,000",2시간전
경남 김해시,더본코리아 홍콩반점0410 김해내동,09:30~21:30,"월급 2,800,000",2시간전
강원 춘천시,더본코리아 역전우동0410 춘천석사점,12:00~22:00,"시급 9,000",2시간전
인천 연수구,더본코리아 홍콩반점0410 인천송도점,11:00~22:00,"월급 2,500,000",2시간전
경남 김해시,더본코리아 홍콩반점0410 김해내동,09:30~21:30,"월급 2,800,000",2시간전
충북 충주시,새마을식당 충주신연수점,17:30~05:30,"월급 2,200,000",2시간전
충북 충주시,새마을식당 충주신연수점,17:30~05:30,"월급 2,200,000",2시간전
충북 충주시,새마을식당 충주신연수점,17:00~05:00,"월급 2,200,000",2시간전
강원 원주시,더본코리아 홍콩반점0410 원주단계점,22:00~10:00,"월급 2,450,000",2시간전
서울 강서구,더본코리아 한신포차 마곡나루역점,19:00~05:00,"월급 2,490,000",2시간전
인천 서구,더본코리아 홍콩반점0410 인천청라점,10:30~22:30,"월급 2,000,000",2시간전
서울 강서구,더본코리아 한신포차 마곡나루역점,19:00~05:00,"월급 2,490,000",3시간전
서울 성북구,더본코리아 새마을식당 성신여대점,10:00~22:00,"월급 2,700,000",3시간전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급 1,850,000",3시간전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급 1,850,000",3시간전
경기 오산시,더본코리아 역전우동0410 오산역점,10:00~22:30,"월급 1,850,000",3시간전
경기 시흥시,홍콩반점0410 시흥배곧신도시점,10:30~22:30,"월급 2,500,000",3시간전
서울 광진구,더본코리아 홍콩반점0410 어린이대공,10:30~22:30,"월급 2,500,000",3시간전
경기 부천시,더본코리아 롤링파스타 부천역점,10:00~22:00,"월급 2,300,000",3시간전
서울 강서구,더본코리아 새마을식당 마곡나루역점,10:30~22:30,"월급 2,550,000",3시간전
경기 성남시,더본코리아 미정국수0410 모란역점,07:00~14:00,"시급 8,590",3시간전
인천 남동구,더본코리아 한신포차 인천구월점,18:30~01:00,"월급 1,550,000",3시간전
인천 서구,더본코리아 홍콩반점0410 인천청라점,11:00~21:00,"시급 8,590",3시간전
경남 양산시,새마을식당 양산역점,18:00~24:00,"월급 1,400,000",3시간전
인천 서구,더본코리아 홍콩반점0410 인천청라점,10:30~22:30,"월급 2,000,000",3시간전
서울 강서구,더본코리아 한신포차 마곡나루역점,19:00~05:00,"월급 2,490,000",7시간전
서울 강서구,더본코리아 한신포차 마곡나루역점,19:00~05:00,"월급 2,490,000",9시간전
인천 연수구,더본코리아 홍콩반점0410 인천송도점,11:00~22:00,"월급 2,500,000",10시간전
경기 시흥시,홍콩반점0410 시흥배곧신도시점,10:30~22:30,"월급 2,500,000",11시간전
충북 청주시,더본코리아 새마을식당 충북대중문점,18:00~22:00,"시급 8,590",11시간전
부산 수영구,더본코리아 홍콩반점0410 부산수영점,11:00~14:00,"시급 8,590",17시간전
경기 수원시,더본코리아 홍콩반점0410 수원망포역,10:00~22:00,"월급 2,400,000",19시간전
경기 수원시,더본코리아 홍콩반점0410 수원망포역,10:00~22:00,"월급 2,400,000",19시간전
경기 수원시,더본코리아 홍콩반점0410 수원망포역,10:00~22:00,"월급 2,400,000",19시간전
경기 수원시,더본코리아 홍콩반점0410 수원망포역,10:00~22:00,"월급 2,400,000",19시간전
경기 수원시,더본코리아 홍콩반점0410 수원망포역,10:00~22:00,"월급 2,400,000",19시간전
인천 연수구,더본코리아 홍콩반점0410 인천송도점,10:00~21:00,"월급 1,900,000",19시간전
서울 성북구,더본코리아 새마을식당 성신여대점,10:00~22:00,"월급 2,700,000",20시간전
경기 파주시,더본코리아 돌배기집 파주운정산내점,18:00~23:00,"시급 10,000",22시간전
서울 전체,홍콩반점0410 삼양사거리점,09:30~21:30,"월급 2,735,800",04/19
